week,weather_condition,ride_count
2023-08-28/2023-09-03,Cloudy,5224.079067420691
2023-08-28/2023-09-03,Rainy,6103.242857142857
2023-08-28/2023-09-03,Sunny,6524.277599671812
2023-09-04/2023-09-10,Cloudy,6564.3299897376855
2023-09-04/2023-09-10,Rainy,6027.271390384999
2023-09-04/2023-09-10,Sunny,7568.6445785884625
2023-09-11/2023-09-17,Cloudy,7916.114303849538
2023-09-11/2023-09-17,Rainy,7210.825594825595
2023-09-11/2023-09-17,Sunny,8549.895389711164
2023-09-18/2023-09-24,Cloudy,7269.396877055859
2023-09-18/2023-09-24,Rainy,2352.446003291868
2023-09-18/2023-09-24,Sunny,9077.398730032177
2023-09-25/2023-10-01,Cloudy,5382.0313985988605
2023-09-25/2023-10-01,Rainy,4322.443594048219
2023-09-25/2023-10-01,Sunny,7798.496129276945
2023-10-02/2023-10-08,Cloudy,5964.260987395495
2023-10-02/2023-10-08,Rainy,5377.775425934279
2023-10-02/2023-10-08,Sunny,8261.747568978088
2023-10-09/2023-10-15,Cloudy,6027.246391938489
2023-10-09/2023-10-15,Rainy,3164.0302474146756
2023-10-09/2023-10-15,Sunny,7723.245742789316
2023-10-16/2023-10-22,Cloudy,5957.1971556307835
2023-10-16/2023-10-22,Rainy,7111.08781999966
2023-10-16/2023-10-22,Sunny,7193.8778056568635
2023-10-23/2023-10-29,Cloudy,6854.846959966049
2023-10-23/2023-10-29,Rainy,2178.4123539232055
2023-10-23/2023-10-29,Sunny,8030.869469759069
2023-10-30/2023-11-05,Cloudy,6573.165310842604
2023-10-30/2023-11-05,Rainy,5135.549129619875
2023-10-30/2023-11-05,Sunny,6355.515858617854
2023-11-06/2023-11-12,Cloudy,6342.262523892887
2023-11-06/2023-11-12,Rainy,7783.525217956084
2023-11-06/2023-11-12,Sunny,5251.6739808769535
2023-11-13/2023-11-19,Cloudy,6455.673904094283
2023-11-13/2023-11-19,Rainy,5732.5754704390765
2023-11-13/2023-11-19,Sunny,5891.539723752039
2023-11-20/2023-11-26,Cloudy,3643.6311422748017
2023-11-20/2023-11-26,Rainy,3302.7049403475057
2023-11-20/2023-11-26,Sunny,3895.489492331306
2023-11-27/2023-12-03,Cloudy,4753.052614140879
2023-11-27/2023-12-03,Normal,4306.0
2023-11-27/2023-12-03,Rainy,3297.982826641912
2023-11-27/2023-12-03,Sunny,5098.5823973007655
